title,year,country,genres,director,cast,overview
Total Recall,1990,['United States of America'],"['Action', 'Adventure', 'Science Fiction']",Paul Verhoeven,"['Arnold Schwarzenegger', 'Rachel Ticotin', 'Sharon Stone', 'Ronny Cox', 'Michael Ironside']","Construction worker Douglas Quaid's obsession with the planet Mars leads him to visit Recall, a company that manufactures memories. When his memory implant goes wrong, Doug can no longer be sure what is and isn't reality."
Ghost,1990,['United States of America'],"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",Jerry Zucker,"['Patrick Swayze', 'Demi Moore', 'Whoopi Goldberg', 'Tony Goldwyn', 'Vincent Schiavelli']","After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic."
Nikita,1990,"['France', 'Italy']","['Action', 'Thriller']",Luc Besson,"['Anne Parillaud', 'Jean-Hugues Anglade', 'Tchéky Karyo', 'Jean Reno', 'Marc Duret']","A beautiful felon, sentenced to life in prison for the murder of a policeman, is given a second chance – as a secret political assassin controlled by the government."
Wild at Heart,1990,['United States of America'],"['Crime', 'Thriller', 'Romance']",David Lynch,"['Nicolas Cage', 'Laura Dern', 'Willem Dafoe', 'Diane Ladd', 'Harry Dean Stanton']","Young lovers Sailor and Lula hit the road to start a new life together away from the wrath of Lula’s deranged, disapproving mother, who has hired a team of hitmen to cut the lovers’ surreal honeymoon short."
Die Hard 2,1990,['United States of America'],"['Action', 'Thriller']",Renny Harlin,"['Bruce Willis', 'Bonnie Bedelia', 'William Sadler', 'John Amos', 'Franco Nero']","One year after his heroics in Los Angeles, John McClane is an off-duty cop who is the wrong guy in the wrong place at the wrong time. On a snowy Christmas Eve, as he waits for his wife's plane to land at Washington Dulles International Airport, terrorists take over the air traffic control system in a plot to free a South American army general and drug smuggler being flown into the US to face drug charges. It's now up to McClane to take on the terrorists, while coping with an inept airport police chief, an uncooperative anti-terrorist squad, and the life of his wife and everyone else trapped in planes circling overhead."
The Witches,1990,"['United Kingdom', 'United States of America']","['Fantasy', 'Family', 'Horror']",Nicolas Roeg,"['Jasen Fisher', 'Mai Zetterling', 'Anjelica Huston', 'Charlie Potter', 'Rowan Atkinson']","A young boy named Luke and his grandmother go on vacation only to discover their hotel is hosting an international witch convention, where the Grand High Witch is unveiling her master plan to turn all children into mice. Will Luke fall victim to the witches' plot before he can stop them?"
Tremors,1990,['United States of America'],"['Horror', 'Action', 'Science Fiction', 'Comedy']",Ron Underwood,"['Kevin Bacon', 'Fred Ward', 'Finn Carter', 'Michael Gross', 'Reba McEntire']","Val McKee and Earl Bassett are in a fight for their lives when they discover that their desolate town has been infested with gigantic, man-eating creatures that live below the ground."
Teenage Mutant Ninja Turtles,1990,"['Hong Kong', 'United States of America']","['Science Fiction', 'Action', 'Adventure', 'Comedy', 'Family']",Steve Barron,"['Brian Tochi', 'Josh Pais', 'Corey Feldman', 'Robbie Rist', 'Judith Hoag']","A quartet of humanoid turtles, trained by their mentor in ninjitsu, must learn to work together to face the menace of Shredder and the Foot Clan."
The Rescuers Down Under,1990,['United States of America'],"['Animation', 'Adventure', 'Family', 'Fantasy']",Hendel Butoy,"['Bob Newhart', 'Eva Gabor', 'John Candy', 'Tristan Rogers', 'Adam Ryen']","A lawless poacher wants to capture a majestic and rare golden eagle, so he kidnaps the boy who knows where to find the bird. Not to worry -- the Rescue Aid Society's top agents, heroic mice Miss Bianca and Bernard, fly to Australia to save the day. Accompanying the fearless duo are bumbling albatross Wilbur and local field operative Jake the Kangaroo Rat."
Lionheart,1990,['United States of America'],['Action'],Sheldon Lettich,"['Jean-Claude Van Damme', 'Harrison Page', 'Lisa Pelikan', 'Ashley Johnson', 'Deborah Rennard']","Lyon Gaultier is a deserter in the Foreign Legion arriving in the USA entirely hard up. He finds his brother between life and death and his sister-in-law without the money needed to heal her husband and to maintain her child. To earn the money needed, Gaultier decides to take part in some very dangerous clandestine fights."
Cry-Baby,1990,['United States of America'],"['Comedy', 'Romance']",John Waters,"['Johnny Depp', 'Amy Locane', 'Susan Tyrrell', 'Iggy Pop', 'Ricki Lake']",A prim and proper schoolgirl goes against her society grandmother's wishes when she dates a motorcycle-riding juvenile delinquent.
Gremlins 2: The New Batch,1990,['United States of America'],"['Comedy', 'Horror', 'Fantasy']",Joe Dante,"['Zach Galligan', 'Phoebe Cates', 'John Glover', 'Robert Prosky', 'Robert Picardo']","Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!"
Flatliners,1990,['United States of America'],"['Drama', 'Science Fiction', 'Horror']",Joel Schumacher,"['Kiefer Sutherland', 'Julia Roberts', 'Kevin Bacon', 'William Baldwin', 'Oliver Platt']","Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life."
Arachnophobia,1990,['United States of America'],"['Comedy', 'Horror']",Frank Marshall,"['Jeff Daniels', 'Harley Jane Kozak', 'John Goodman', 'Julian Sands', 'Brian McNamara']","A large spider from the jungles of South America is accidentally transported in a crate with a dead body to America where it mates with a local spider. Soon after, the residents of a small California town disappear as the result of spider bites from the deadly spider offspring. It's up to a couple of doctors with the help of an insect exterminator to annihilate these eight legged freaks."
Darkman,1990,['United States of America'],"['Action', 'Science Fiction', 'Thriller']",Sam Raimi,"['Liam Neeson', 'Frances McDormand', 'Colin Friels', 'Larry Drake', 'Nelson Mashita']","Dr. Peyton Westlake is on the verge of realizing a major breakthrough in synthetic skin when his laboratory is destroyed by gangsters. Having been burned beyond recognition and forever altered by an experimental medical procedure, Westlake becomes known as Darkman, assuming alternate identities in his quest for revenge and a new life with a former love."
Days of Thunder,1990,['United States of America'],"['Adventure', 'Action', 'Drama']",Tony Scott,"['Tom Cruise', 'Robert Duvall', 'Nicole Kidman', 'Randy Quaid', 'Cary Elwes']","Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear."
Child's Play 2,1990,['United States of America'],"['Horror', 'Thriller']",John Lafia,"['Alex Vincent', 'Brad Dourif', 'Christine Elise', 'Jenny Agutter', 'Gerrit Graham']","Chucky is reconstructed by a toy factory to dispel the negative publicity surrounding the doll, and tracks young Andy Barclay to a foster home where the chase begins again."
Predator 2,1990,['United States of America'],"['Science Fiction', 'Action', 'Thriller']",Stephen Hopkins,"['Danny Glover', 'Gary Busey', 'Rubén Blades', 'María Conchita Alonso', 'Bill Paxton']",A police chief in the war-torn streets of Los Angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.
Kindergarten Cop,1990,['United States of America'],['Comedy'],Ivan Reitman,"['Arnold Schwarzenegger', 'Penelope Ann Miller', 'Pamela Reed', 'Linda Hunt', 'Richard Tyson']","Hard-edged cop John Kimble gets more than he bargained for when he goes undercover as a kindergarten teacher to get the goods on a brutal drug lord while at the same time protecting the man's young son. Pitted against a class of boisterous moppets whose antics try his patience and test his mettle, Kimble may have met his match … in more ways than one."
RoboCop 2,1990,['United States of America'],"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']",Irvin Kershner,"['Peter Weller', 'Nancy Allen', 'Tom Noonan', 'Belinda Bauer', 'Willard E. Pugh']","After a successful deployment of the RoboCop Law Enforcement unit, OCP sees its goal of urban pacification come closer and closer, but as this develops, a new narcotic known as ""Nuke"" invades the streets led by God-delirious leader Cane. As this menace grows, it may prove to be too much for Murphy to handle. OCP tries to replicate the success of the first unit, but ends up with failed prototypes with suicidal issues... until Dr. Faxx, a scientist straying away from OCP's path, uses Cane as the new subject for the RoboCop 2 project, a living God."
Rocky V,1990,['United States of America'],['Drama'],John G. Avildsen,"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Richard Gant', 'Tommy Morrison']","A lifetime of taking shots has ended Rocky’s career, and a crooked accountant has left him broke. Inspired by the memory of his trainer, however, Rocky finds glory in training and takes on an up-and-coming boxer."
Look Who's Talking Too,1990,['United States of America'],"['Romance', 'Comedy']",Amy Heckerling,"['John Travolta', 'Kirstie Alley', 'Olympia Dukakis', 'Elias Koteas', 'Twink Caplan']","Mollie and James are together and raising a family, which now consists of an older Mikey and his baby sister, Julie. Tension between the siblings arises, and as well with Mollie and James when Mollie's brother Stuart moves in. Mikey is also learning how to use the toilet for the first time."
The Silence of the Lambs,1991,['United States of America'],"['Crime', 'Thriller', 'Drama']",Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn', 'Ted Levine', 'Anthony Heald']","Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out."
Terminator 2: Judgment Day,1991,"['France', 'United States of America']","['Action', 'Thriller', 'Science Fiction']",James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick', 'Earl Boen']","Ten years after the events of the original, a reprogrammed T-800 is sent back in time to protect young John Connor from the shape-shifting T-1000. Together with his mother Sarah, he fights to stop Skynet from triggering a nuclear apocalypse."
Beauty and the Beast,1991,['United States of America'],"['Romance', 'Family', 'Animation', 'Fantasy']",Gary Trousdale,"[""Paige O'Hara"", 'Robby Benson', 'Richard White', 'Jerry Orbach', 'David Ogden Stiers']","Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within."
Fried Green Tomatoes,1991,['United States of America'],"['Drama', 'Comedy']",Jon Avnet,"['Kathy Bates', 'Jessica Tandy', 'Mary-Louise Parker', 'Mary Stuart Masterson', 'Cicely Tyson']","Amidst her own personality crisis, a southern housewife meets an outgoing old woman who tells her the story of Idgie Threadgoode and Ruth Jamison, two young women who experienced hardships and love in 1920s Whistle Stop, Alabama."
Mediterraneo,1991,['Italy'],"['Comedy', 'Romance', 'War']",Gabriele Salvatores,"['Diego Abatantuono', 'Claudio Bigagli', 'Giuseppe Cederna', 'Claudio Bisio', 'Gigio Alberti']","Greek Sea, World War II. An Italian ship leaves a handful of soldiers in a little island; their mission is to spot enemy ships and to hold the island in case of attack. The village of the island seems abandoned and there isn't a single enemy in sight, so the soldiers begin to relax a little. Things change when their ship is hit and destroyed by the enemy, and the soldiers find themselves abandoned there."
Boyz n the Hood,1991,['United States of America'],"['Crime', 'Drama']",John Singleton,"['Cuba Gooding Jr.', 'Laurence Fishburne', 'Ice Cube', 'Morris Chestnut', 'Angela Bassett']","In the middle of the Los Angeles ghetto, drugs, robberies and shootings dominate everyday life. During these times, Furious tries to raise his son Tre to be a decent person. Tre's friends, on the other hand, have little regard for the law and drag the entire neighborhood into a street war..."
JFK,1991,"['United States of America', 'France']","['Drama', 'Thriller', 'History']",Oliver Stone,"['Kevin Costner', 'Tommy Lee Jones', 'Gary Oldman', 'Kevin Bacon', 'Michael Rooker']",Follows the investigation into the assassination of President John F. Kennedy led by New Orleans district attorney Jim Garrison.
Thelma & Louise,1991,"['United Kingdom', 'United States of America']","['Drama', 'Thriller', 'Crime', 'Adventure']",Ridley Scott,"['Susan Sarandon', 'Geena Davis', 'Harvey Keitel', 'Michael Madsen', 'Christopher McDonald']","Taking a break from their dreary lives, close friends Thelma and Louise embark on a short weekend trip that ends in unforeseen incriminating circumstances. As fugitives, both women rediscover the strength of their bond and their newfound resilience."
Barton Fink,1991,"['United Kingdom', 'United States of America']","['Comedy', 'Drama', 'Thriller']",Joel Coen,"['John Turturro', 'John Goodman', 'Judy Davis', 'Michael Lerner', 'John Mahoney']",A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.
My Girl,1991,['United States of America'],"['Comedy', 'Drama']",Howard Zieff,"['Anna Chlumsky', 'Macaulay Culkin', 'Dan Aykroyd', 'Jamie Lee Curtis', 'Richard Masur']","Vada Sultenfuss is obsessed with death. Her mother is dead, and her father runs a funeral parlor. She is also in love with her English teacher, and joins a poetry class over the summer just to impress him. Thomas J., her best friend, is ""allergic to everything"", and sticks with Vada despite her hangups. When Vada's father hires Shelly, and begins to fall for her, things take a turn to the worse..."
Only Yesterday,1991,['Japan'],"['Animation', 'Drama', 'Romance']",Isao Takahata,"['Miki Imai', 'Toshiro Yanagiba', 'Yoko Honna', 'Mayumi Izuka', 'Masahiro Itou']","In lyrical switches between the present and the past, Taeko contemplates the arc of her life, and wonders if she has been true to the dreams of her childhood self."
Johnny Stecchino,1991,['Italy'],['Comedy'],Roberto Benigni,"['Roberto Benigni', 'Nicoletta Braschi', 'Paolo Bonacelli', 'Franco Volpi', 'Ivano Marescotti']","Good hearted but not very wordly-wise, Dante is happy driving the school bus for a group of mentally handicapped children, while feeling he is somehow missing out on life and love. So he is very excited when after nearly being knocked down by her car he meets Maria, who seems immediately enamoured of him. He is soon invited to her sumptuous Palermo villa, little suspecting that this is part of a plot. He bears an amazing likeness to Maria's stool-pigeon gangster husband and it would be convenient for them if the mobster, in the shape of Dante, was seen to be dead and buried."
Delicatessen,1991,['France'],"['Comedy', 'Science Fiction', 'Fantasy']",Jean-Pierre Jeunet,"['Dominique Pinon', 'Marie-Laure Dougnac', 'Jean-Claude Dreyfus', 'Karin Viard', 'Ticky Holgado']","In a post-apocalyptic world, the residents of an apartment above the butcher shop receive an occasional delicacy of meat, something that is in low supply. A young man new in town falls in love with the butcher's daughter, which causes conflicts in her family, who need the young man for other business-related purposes."
The Fisher King,1991,['United States of America'],"['Comedy', 'Drama']",Terry Gilliam,"['Robin Williams', 'Jeff Bridges', 'Amanda Plummer', 'Mercedes Ruehl', 'Michael Jeter']",Two troubled men face their terrible destinies and events of their past as they join together on a mission to find the Holy Grail and thus to save themselves.
Cape Fear,1991,['United States of America'],"['Drama', 'Crime', 'Thriller']",Martin Scorsese,"['Robert De Niro', 'Nick Nolte', 'Jessica Lange', 'Juliette Lewis', 'Joe Don Baker']","Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, Bible-quoting, psychotic rapist. What do they have in common? 14 years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss."
Point Break,1991,['United States of America'],"['Action', 'Thriller', 'Crime']",Kathryn Bigelow,"['Keanu Reeves', 'Patrick Swayze', 'Lori Petty', 'Gary Busey', 'John C. McGinley']","In Los Angeles, a gang of bank robbers who call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. Believing that the members of the gang could be surfers, the F.B.I. sends young agent Johnny Utah to the beach undercover to mix with the surfers and gather information."
The Doors,1991,['United States of America'],"['Music', 'Drama', 'History']",Oliver Stone,"['Val Kilmer', 'Meg Ryan', 'Kyle MacLachlan', 'Frank Whaley', 'Kevin Dillon']","The story of the famous and influential 1960s rock band and its lead singer and composer, Jim Morrison."
The Addams Family,1991,['United States of America'],"['Comedy', 'Fantasy']",Barry Sonnenfeld,"['Raúl Juliá', 'Anjelica Huston', 'Christopher Lloyd', 'Christina Ricci', 'Carel Struycken']","When a man claiming to be long-lost Uncle Fester reappears after 25 years lost, the family plans a celebration to wake the dead. But the kids barely have time to warm up the electric chair before Morticia begins to suspect Fester is fraud when he can't recall any of the details of Fester's life."
My Own Private Idaho,1991,['United States of America'],['Drama'],Gus Van Sant,"['River Phoenix', 'Keanu Reeves', 'James Russo', 'William Richert', 'Rodney Harvey']","In this loose adaptation of Shakespeare's ""Henry IV,"" Mike Waters is a hustler afflicted with narcolepsy. Scott Favor is the rebellious son of a mayor. Together, the two travel from Portland, Oregon to Idaho and finally to the coast of Italy in a quest to find Mike's estranged mother. Along the way they turn tricks for money and drugs, eventually attracting the attention of a wealthy benefactor and sexual deviant."
Star Trek VI: The Undiscovered Country,1991,['United States of America'],"['Science Fiction', 'Action', 'Adventure', 'Thriller']",Nicholas Meyer,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan', 'George Takei']","After years of war, the Federation and the Klingon empire find themselves on the brink of a peace summit when a Klingon ship is nearly destroyed by an apparent attack from the Enterprise. Both worlds brace for what may be their deadliest encounter."
Naked Lunch,1991,"['Canada', 'United Kingdom']","['Crime', 'Drama']",David Cronenberg,"['Peter Weller', 'Judy Davis', 'Ian Holm', 'Julian Sands', 'Roy Scheider']","Blank-faced bug killer Bill Lee and his dead-eyed wife, Joan, like to get high on Bill's pest poisons while lounging with Beat poet pals. After meeting the devilish Dr. Benway, Bill gets a drug made from a centipede. Upon indulging, he accidentally kills Joan, takes orders from his typewriter-turned-cockroach, ends up in a constantly mutating Mediterranean city and learns that his hip friends have published his work -- which he doesn't remember writing."
Robin Hood: Prince of Thieves,1991,['United States of America'],"['Action', 'Adventure', 'Drama']",Kevin Reynolds,"['Kevin Costner', 'Morgan Freeman', 'Mary Elizabeth Mastrantonio', 'Christian Slater', 'Alan Rickman']","Nobleman crusader Robin of Locksley breaks out of a Jerusalem prison with the help of Moorish fellow prisoner Azeem and travels back home to England. But upon arrival he discovers his dead father in the ruins of his family estate, killed by the vicious sheriff of Nottingham, Robin and Azeem join forces with outlaws Little John and Will Scarlett to save the kingdom from the sheriff's villainy."
Hook,1991,['United States of America'],"['Adventure', 'Fantasy', 'Comedy', 'Family']",Steven Spielberg,"['Dustin Hoffman', 'Robin Williams', 'Julia Roberts', 'Bob Hoskins', 'Maggie Smith']","The boy who wasn't supposed to grow up—Peter Pan—does just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. During his trip to see Granny Wendy in London, the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland."
The Last Boy Scout,1991,['United States of America'],"['Action', 'Thriller']",Tony Scott,"['Bruce Willis', 'Damon Wayans', 'Chelsea Field', 'Noble Willingham', 'Taylor Negron']","Somewhere in Los Angeles, the city of broken dreams, a stripper is murdered. Now, the private detective she had hired and her ex-footballer boyfriend are going to find her murderer... if they don't kill each other first. But the more they dig, the deeper they become enmeshed in a web of extortion, blackmail and corrupt politics hidden beneath the surface of professional football."
The Naked Gun 2½: The Smell of Fear,1991,['United States of America'],"['Comedy', 'Crime']",David Zucker,"['Leslie Nielsen', 'Priscilla Presley', 'George Kennedy', 'O. J. Simpson', 'Robert Goulet']","Bumbling lieutenant Frank Drebin is out to foil the big boys in the energy industry, who intend to suppress technology that will put them out of business."
Backdraft,1991,['United States of America'],"['Drama', 'Thriller', 'Action', 'Crime']",Ron Howard,"['Kurt Russell', 'William Baldwin', 'Robert De Niro', 'Donald Sutherland', 'Jennifer Jason Leigh']","Two feuding siblings carrying on a heroic family tradition as Chicago firefighters. But when a puzzling series of arson attacks is reported, they are forced to set aside their differences to solve the mystery surrounding these crimes."
Hot Shots!,1991,['United States of America'],"['Action', 'Comedy', 'War']",Jim Abrahams,"['Charlie Sheen', 'Cary Elwes', 'Valeria Golino', 'Lloyd Bridges', 'Kevin Dunn']","The gang that created Airplane and The Naked Gun sets its sights on Top Gun in this often hilarious spoof starring Charlie Sheen, who previously only inspired laughs with his personal life. He plays Topper Harley, a fighter pilot with an axe to grind: clearing the family name. He gets involved in a relationship with Valeria Golino, a woman with an unusually talented stomach. But his mission is to avenge his father. Lloyd Bridges, late in his career, revealed an aptitude for this kind of silliness, here as a commander who is both incredibly dim and delightfully accident prone. Directed by Jim Abrahams, the film makes fun of a variety of other films as well, from Dances with Wolves to The Fabulous Baker Boys. It was so successful that they all returned in the sequel, Hot Shots! Part Deux."
Sleeping with the Enemy,1991,['United States of America'],"['Drama', 'Thriller']",Joseph Ruben,"['Julia Roberts', 'Patrick Bergin', 'Kevin Anderson', 'Elizabeth Lawrence', 'Kyle Secor']","A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband."
Father of the Bride,1991,['United States of America'],"['Comedy', 'Romance']",Charles Shyer,"['Steve Martin', 'Diane Keaton', 'Kimberly Williams-Paisley', 'Kieran Culkin', 'George Newbern']","George Banks is an ordinary, middle-class man whose 22 year-old daughter Annie has decided to marry a man from an upper-class family, but George can't think of what life would be like without his daughter. His wife tries to make him happy for Annie, but when the wedding takes place at their home and a foreign wedding planner takes over the ceremony, he becomes slightly insane."
Bill & Ted's Bogus Journey,1991,['United States of America'],"['Adventure', 'Comedy', 'Science Fiction']",Peter Hewitt,"['Keanu Reeves', 'Alex Winter', 'William Sadler', 'Joss Ackland', 'Pam Grier']","Amiable slackers Bill and Ted are once again roped into a fantastical adventure when De Nomolos, a villain from the future, sends evil robot duplicates of the two lads to terminate and replace them. The robot doubles actually succeed in killing Bill and Ted, but the two are determined to escape the afterlife, challenging the Grim Reaper to a series of games in order to return to the land of the living."
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,"['Hong Kong', 'United States of America']","['Science Fiction', 'Adventure', 'Action', 'Comedy', 'Family']",Michael Pressman,"['Brian Tochi', 'Laurie Faso', 'Robbie Rist', 'Adam Carl', 'Paige Turco']","The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants."
Double Impact,1991,['United States of America'],"['Thriller', 'Action', 'Crime', 'Drama']",Sheldon Lettich,"['Jean-Claude Van Damme', 'Geoffrey Lewis', 'Alonna Shaw', 'Bolo Yeung Sze', 'Cory Everson']","Jean Claude Van Damme plays a dual role as Alex and Chad, twins separated at the death of their parents. Chad is raised by a family retainer in Paris, Alex becomes a petty crook in Hong Kong. Seeing a picture of Alex, Chad rejoins him and convinces him that his rival in Hong Kong is also the man who killed their parents. Alex is suspicious of Chad, especially when it comes to his girlfriend."
Return to the Blue Lagoon,1991,['United States of America'],"['Adventure', 'Drama']",William A. Graham,"['Milla Jovovich', 'Brian Krause', 'Lisa Pelikan', 'Courtney Barilla', 'Garette Ratliff Henson']","In this sequel to the 1980 classic, two children are stranded on a beautiful island in the South Pacific. With no adults to guide them, the two make a simple life together and eventually become tanned teenagers in love."
Child's Play 3,1991,['United States of America'],"['Horror', 'Thriller']",Jack Bender,"['Justin Whalin', 'Brad Dourif', 'Perrey Reeves', 'Jeremy Sylvers', 'Travis Fine']","Eight years after seemingly destroying the killer doll, teen Andy Barclay is placed in a military school, and the spirit of Chucky returns to renew his quest and seek vengeance after being recreated from a mass of melted plastic."
Hudson Hawk,1991,['United States of America'],"['Action', 'Adventure', 'Comedy']",Michael Lehmann,"['Bruce Willis', 'Danny Aiello', 'Andie MacDowell', 'James Coburn', 'Richard E. Grant']","Eddie Hawkins, called Hudson Hawk has just been released from ten years of prison and is planning to spend the rest of his life honestly. But then the crazy Mayflower couple blackmail him to steal some of the works of Leonardo da Vinci. If he refuses, they threaten to kill his friend Tommy."
Freddy's Dead: The Final Nightmare,1991,['United States of America'],"['Horror', 'Thriller']",Rachel Talalay,"['Robert Englund', 'Lisa Zane', 'Shon Greenblatt', 'Lezlie Deane', 'Yaphet Kotto']","Just when you thought it was safe to sleep, Freddy Krueger returns in this sixth installment of the Nightmare on Elm Street films, as psychologist Maggie Burroughs, tormented by recurring nightmares, meets a patient with the same horrific dreams. Their quest for answers leads to a certain house on Elm Street -- where the nightmares become reality."
Reservoir Dogs,1992,['United States of America'],"['Crime', 'Thriller']",Quentin Tarantino,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn', 'Steve Buscemi']","A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel."
Unforgiven,1992,['United States of America'],['Western'],Clint Eastwood,"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman', 'Jaimz Woolvett', 'Richard Harris']","William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff."
Porco Rosso,1992,['Japan'],"['Family', 'Comedy', 'Animation', 'Adventure']",Hayao Miyazaki,"['Shūichirō Moriyama', 'Tokiko Kato', 'Bunshi Katsura VI', 'Tsunehiko Kamijô', 'Akemi Okamura']","In Italy in the 1930s, sky pirates in biplanes terrorize wealthy cruise ships as they sail the Adriatic Sea. The only pilot brave enough to stop the scourge is the mysterious Porco Rosso, a former World War I flying ace who was somehow turned into a pig during the war. As he prepares to battle the pirate crew's American ace, Porco Rosso enlists the help of spunky girl mechanic Fio Piccolo and his longtime friend Madame Gina."
Scent of a Woman,1992,['United States of America'],['Drama'],Martin Brest,"['Al Pacino', ""Chris O'Donnell"", 'James Rebhorn', 'Gabrielle Anwar', 'Philip Seymour Hoffman']","Charlie Simms is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham, Oregon for Christmas, Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade, a cantankerous middle-aged man who lives with his niece and her family."
Aladdin,1992,['United States of America'],"['Animation', 'Family', 'Adventure', 'Fantasy', 'Romance']",Ron Clements,"['Scott Weinger', 'Robin Williams', 'Linda Larkin', 'Jonathan Freeman', 'Gilbert Gottfried']","In the boorish city of Agrabah, kind-hearted street urchin Aladdin and Princess Jasmine fall in love, although she can only marry a prince. He and power-hungry Grand Vizier Jafar vie for a magic lamp that can fulfill their wishes."
Malcolm X,1992,"['United States of America', 'Netherlands Antilles']","['Drama', 'History']",Spike Lee,"['Denzel Washington', 'Angela Bassett', 'Albert Hall', 'Al Freeman Jr.', 'Delroy Lindo']","A tribute to the controversial black activist and leader of the struggle for black liberation. He hit bottom during his imprisonment in the '50s, he became a Black Muslim and then a leader in the Nation of Islam. His assassination in 1965 left a legacy of self-determination and racial pride."
A Few Good Men,1992,['United States of America'],['Drama'],Rob Reiner,"['Tom Cruise', 'Jack Nicholson', 'Demi Moore', 'Kevin Bacon', 'Kiefer Sutherland']","When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep."
My Cousin Vinny,1992,['United States of America'],"['Comedy', 'Drama']",Jonathan Lynn,"['Joe Pesci', 'Marisa Tomei', 'Ralph Macchio', 'Mitchell Whitfield', 'Fred Gwynne']","Two carefree pals from Brooklyn traveling through rural Alabama on their way back to college are mistakenly arrested, and charged with murder. Fortunately, one of them has a cousin who's a lawyer - Vincent Gambini, a former auto mechanic from Brooklyn who just passed his bar exam after his sixth try. When he arrives with his leather-clad girlfriend, to try his first case, it's a real shock - for him and the Deep South!"
Bram Stoker's Dracula,1992,['United States of America'],"['Romance', 'Horror']",Francis Ford Coppola,"['Gary Oldman', 'Winona Ryder', 'Anthony Hopkins', 'Keanu Reeves', 'Sadie Frost']","Centuries-old vampire Count Dracula travels to Victorian London, where he becomes obsessed with Mina Murray—the fiancée of his solicitor, Jonathan Harker—believing her to be the reincarnation of his long-lost love."
Chaplin,1992,"['France', 'Italy', 'Japan', 'United Kingdom', 'United States of America']",['Drama'],Richard Attenborough,"['Robert Downey Jr.', 'Geraldine Chaplin', 'Paul Rhys', 'Marisa Tomei', 'Milla Jovovich']","An aged Charlie Chaplin narrates his life to his autobiography's editor, including his rise to wealth and comedic fame from poverty, his turbulent personal life and his run-ins with the FBI."
